pathway	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
PWY-6595	537.7822243291657	571.0365547404954	666.9859679583561	730.0248375195104	414.146801017502	894.6673019635978	688.3562367522665	469.19588993444745	984.7632499785656	882.9934343961354	2617.658642962559	1180.6127490519214	269.2459784740165	325.40790114810113	817.7023147814093	571.3519565907928	48.25674794329491	327.9650766262996	128.0005499897047	676.8173114762508	565.7814769519803	93.4027508733931	2802.3186654516285	2931.28120375544	3412.861343388201	130.61486338468578	23.3203648348888	32.018062542699255	52.5454870760448	31.263167408122605	39.11253788832693	214.71971444249513	134.536329247506	66.19054948456024
PWY-6606	879.100177277331	1206.8635439822342	1404.523920554501	990.876789072827	773.1357297104053	1416.148754765976	1126.402616861211	999.3387863516514	1466.124409811968	1661.1978188814091	3108.0188216352353	1518.9854913885329	469.02577332581797	817.2483092078646	1573.8919310950328	762.6269979573143	153.62360091980182	395.0915082717639	324.8778894095317	885.8389655113889	659.5419512775734	183.08744224257	4930.861260812708	4397.304567852027	6169.9162751611375	221.71678483610657	35.561669013969286	61.44182699208048	81.7001677598808	52.549803351493125	69.43035389133645	413.2534072816755	258.43182821800195	191.7531974100319
PWY-6607	529.9423934058509	579.1285698199429	666.976005875016	718.2364339137679	412.59406072463423	890.9409786801966	689.005788972413	468.7175871068493	1466.124409811968	1661.1978188814091	3108.0188216352353	1373.8311776388034	284.6486057948301	817.2483092078646	1573.8919310950328	555.1101337968815	48.67201598893549	395.0915082717639	324.8778894095317	885.8389655113889	659.5419512775734	94.16199364104034	4930.861260812708	3007.1649070788076	6169.9162751611375	132.98169293331634	22.18260923182496	30.001867051455932	51.74628202091522	29.161363260114808	38.80679613146407	222.67275806831864	134.51965099315032	63.16510861575442
PWY-6608	879.100177277331	1206.8635439822342	1404.523920554501	990.876789072827	773.1357297104053	1416.148754765976	1126.402616861211	999.3387863516514	782.0308524243743	694.5188395995514	3076.3125595703636	1518.9854913885329	469.02577332581797	255.45112336277867	686.3813639948355	565.5267300698487	153.62360091980182	267.84988154047926	93.49915437885934	713.3936314838995	654.6953512101071	183.08744224257	2404.509986357383	4397.304567852027	2909.4270063224226	221.71678483610657	35.561669013969286	61.44182699208048	81.7001677598808	52.549803351493125	69.43035389133645	413.2534072816755	258.43182821800195	191.7531974100319
PWY-6609	5253.8291509298915	4195.859695158341	5592.914007622796	4442.226159370594	4730.838998799697	5255.976831108664	4381.697199237466	2411.685397423944	2448.309202211958	3875.0329389154085	3118.291581339972	2460.2621052149498	3291.832283007325	1372.0575477494112	2297.120546581244	3073.840895018609	324.00386909284026	651.1311202579484	891.4167223202903	881.100263512343	873.0627057981388	793.2582549800796	7805.620429902358	8601.026219990033	7929.20061117811	2098.0069305958805	1428.0965258033605	1139.8775255168332	1605.9958097773917	1455.5480223023526	1165.5805561722975	2758.7797964425713	3624.2257108735685	3908.586485380672
PWY-6612	3790.979921221115	3015.9949944340747	4210.225037720531	3515.9326820980527	3251.613104329708	3731.2174828898565	2722.5801823042157	2348.0499535931795	3009.6843165168175	3663.5730348768357	3324.307415208925	2435.214209520403	3091.0627810861765	1162.151613796398	2082.6687407405893	2866.391981198901	293.2227820431254	902.2536373052822	846.8580317406623	943.359124186843	807.3212328139967	520.4030081525108	6855.255245610718	8420.465230885531	7302.547209776057	1878.909420389733	1240.1040060021803	1039.3959015719329	1423.5489665553116	1328.7992877246293	1123.8989432581661	3207.43791656852	3520.6493862094558	3897.750176894907
PWY-6628	5333.399375828593	4044.5963698856385	5579.197414796152	4551.929964306677	4896.195235841678	5976.10618488765	4576.001265309539	3022.421706893212	2621.5059706477114	3278.8854525411753	3735.819351649421	2407.2293063423986	3315.244255677762	1057.7901148557548	1959.099330424036	2632.6711769142844	376.7795402921877	835.0283535110284	770.1004451788987	1031.0860657403782	838.9081030870248	762.8017850940787	6501.993124242817	7873.036766858114	6785.4495009965285	1976.2679569608702	1301.8644884265987	1016.3613514038639	1443.2878633961536	1267.491970143053	1229.2159731497636	3398.2589056312186	3603.933323326655	3595.5172748760874
PWY-6630	5314.519864008709	4015.466205075632	5552.243365649423	4518.919325687684	4874.9807470923815	5914.143807309395	4554.274500585859	2968.4792387466073	2617.932819911778	3252.8345152379984	3533.3484762266244	2345.4940355450995	3315.244255677762	1042.266660871674	1921.2955272509707	2637.4376792973953	370.2307327442588	830.6515451335507	768.225169868639	985.1617555420904	817.0514577169923	758.7480832695404	6398.916829800059	7844.293936650998	6671.129650860392	1976.2679569608702	1301.8644884265987	1016.3613514038639	1443.2878633961536	1267.491970143053	1229.2159731497636	3398.2589056312186	3603.933323326655	3595.5172748760874
PWY-6641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.093099377748317	6.812322855307402	9.75611616186148	159.99490516964738	0.0	41.821896229234916	15.457053580372946	0.0	0.0	0.0	0.0	0.0	113.16091519877448	0.0	128.39192997850273	39.64611908512736	390.3019613142592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.710050362219693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9945457157713835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.997783708687477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	407.4888485195974	116.33583246506191	2196.545498480892	203.496734514989	8.691975841242453	50.101218913379114	484.0186834270593	6.08131268333879	0.0	154.33707035652688	27.28837329171931	488.4359582160991	182.97572169981422	0.0	1182.8662523457444	50.064244648193544	451.68420414104645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6676	0.0	10.873742200142265	0.0	0.0	0.0	0.0	0.0	0.0	25.441966526638268	0.0	0.0	151.92702170781433	0.0	45.334070180894194	0.0	0.0	0.0	9.492450335699264	0.0	10.925952486955103	87.28689776415985	5.821030041866414	41.61984135300393	31.706077780880598	265.51793483538114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6690	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.117338276076745	20.713550800888576	0.0	0.0	0.0	7.895028051420242	0.0	6.267523503510652	0.0	0.0	0.0	0.0	23.8646934460888	28.88211261635732	84.81542296153201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6700	5352.236521134374	4248.844294032663	5752.486940820528	4723.430177207904	4807.664912551438	5535.78730990011	4285.382786134204	2952.685114952664	1827.375704556627	2441.0984351841125	2531.556391298497	2117.917303099421	2889.1902420608976	847.356766749118	1434.9231093103936	2638.7874007061546	370.8417916216305	475.9094943397817	558.3454183847743	676.5251863658838	632.9503515517036	781.4588087385423	4933.235902858872	6854.34235233973	5673.577207418747	1375.711448156181	1141.2489122858588	1000.685807954724	1262.5521933243006	1263.7591743973899	1057.0116923438914	3063.829670327908	3236.343267802905	3931.533654011114
PWY-6703	3427.977453705908	2287.49641282417	3326.135597511818	2849.9177145138065	2732.0184745103866	3465.664619753056	2305.8389379383	2153.7107252085007	1124.4288819268581	1627.6203826813005	2623.306312129777	1687.147651240624	1451.6304991657717	524.3464923573595	1120.7154430276355	1722.5004748751642	266.4268132277802	286.23248886754965	368.25236932863277	633.4946905429247	535.1365668066071	379.00996228339056	3679.7263762175144	5214.370419362002	3020.3551474494902	585.667344512016	579.1253752208038	468.36465347797804	705.1336605598586	564.3062509232983	501.4072943514988	1941.0893469052894	1677.875370802066	2410.839648787162
